[distance	 angle	 speed	 height	 possibility] 
 	 239  	 50  	 1  	 10  	 1 
 	 240  	 50  	 1  	 9  	 1 
 	 241  	 50  	 1  	 7  	 1 
 	 242  	 50  	 1  	 6  	 1 
 	 243  	 50  	 1  	 5  	 1 
 	 244  	 50  	 1  	 4  	 1 
 	 245  	 50  	 1  	 3  	 1 
 	 246  	 50  	 1  	 10  	 1 
 	 247  	 50  	 1  	 9  	 1 
 	 248  	 50  	 1  	 8  	 1 
 	 249  	 50  	 1  	 7  	 1 
 	 250  	 50  	 1  	 6  	 1 
 	 251  	 50  	 1  	 5  	 1 
 	 252  	 50  	 1  	 4  	 1 
 	 253  	 50  	 1  	 11  	 1 
 	 254  	 50  	 1  	 10  	 1 
 	 255  	 50  	 1  	 9  	 1 
 	 256  	 50  	 1  	 8  	 1 
 	 257  	 50  	 1  	 7  	 1 
 	 258  	 50  	 1  	 6  	 1 
 	 259  	 50  	 1  	 5  	 1 
 	 260  	 50  	 1  	 3  	 1 
 	 261  	 50  	 1  	 11  	 1 
 	 262  	 50  	 1  	 10  	 1 
 	 263  	 50  	 1  	 9  	 1 
 	 264  	 50  	 1  	 8  	 1 
 	 265  	 50  	 1  	 7  	 1 
 	 266  	 50  	 1  	 6  	 1 
 	 267  	 50  	 1  	 4  	 1 
 	 268  	 50  	 1  	 3  	 1 
 	 269  	 50  	 1  	 11  	 1 
 	 270  	 50  	 1  	 10  	 1 
 	 271  	 50  	 1  	 9  	 1 
 	 272  	 50  	 1  	 8  	 1 
 	 273  	 50  	 1  	 7  	 1 
 	 274  	 50  	 1  	 6  	 1 
 	 275  	 50  	 1  	 4  	 1 
 	 276  	 50  	 1  	 3  	 1 
 	 277  	 50  	 1  	 11  	 1 
 	 278  	 50  	 1  	 10  	 1 
 	 279  	 50  	 1  	 9  	 1 
 	 280  	 50  	 1  	 8  	 1 
 	 281  	 50  	 1  	 7  	 1 
 	 282  	 50  	 1  	 6  	 1 
 	 283  	 50  	 1  	 5  	 1 
 	 284  	 50  	 1  	 3  	 1 
 	 285  	 50  	 1  	 12  	 1 
 	 286  	 50  	 1  	 11  	 1 
 	 287  	 50  	 1  	 9  	 1 
 	 288  	 50  	 1  	 8  	 1 
 	 289  	 50  	 1  	 7  	 1 
 	 290  	 50  	 1  	 6  	 1 
 	 291  	 50  	 1  	 5  	 1 
 	 292  	 50  	 1  	 4  	 1 
 	 293  	 50  	 1  	 3  	 1 
 	 294  	 50  	 1  	 11  	 1 
 	 295  	 50  	 1  	 10  	 1 
 	 296  	 50  	 1  	 9  	 1 
 	 297  	 50  	 1  	 8  	 1 
 	 298  	 50  	 1  	 6  	 1 
 	 299  	 50  	 1  	 5  	 1 
 	 300  	 50  	 1  	 4  	 1 
 	 301  	 50  	 1  	 3  	 1 
 	 302  	 50  	 1  	 12  	 1 
 	 303  	 50  	 1  	 10  	 1 
